Année,Statut,Catégorie,Sous-catégorie,Détails,Montant
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,0.6611
2019,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI,17.8879
2019,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,2842.7239
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,414.01009999999997
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,527.3249000000001
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,10.97
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),134.1
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités,121.7
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR,68.5
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité,347.5300000000001
2011,Réalisé,Dépenses budgétaires,Service de la dette publique,,1312.641
2011,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,1393.3472000000002
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,10.653
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.15
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,30.541
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,45.01
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,181.834
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,26.284
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,21.86
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes,11
2011,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor 
2012,Réalisé,Dépenses budgétaires,Service de la dette publique,,856.0160000000001
2012,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,1798.033
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,22.7
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.3
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,18.8
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,84.1
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,20
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,379.85800000000006
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,53.996
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,51.525
2012,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes,10
2012,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor 
2013,Réalisé,Dépenses budgétaires,Service de la dette publique,,976.5999999999999
2013,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,1791.249
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,62.89
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,21.96
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.3
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,29.665
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré,27.25
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,115
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,0.818
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,391.052
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,219.755
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,103.059
2013,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes,8.239
2013,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor 
2014,Réalisé,Dépenses budgétaires,Service de la dette publique,,1179.497
2014,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,1944.816
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,125.247
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,29.301
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.3
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,38.2
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré,22.2
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,107
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,0
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,0
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,5.6
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,315.446
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,249.139
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,145.998
2014,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2014,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,12.196
2015,Réalisé,Dépenses budgétaires,Service de la dette publique,,1318.342
2015,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,2376.78
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,96.71
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,32.208
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.387
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,18.718
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré,19.8
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,135.244
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,11.997
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,8.638
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,10
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,432.9720000000001
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,333.709
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,128.599
2015,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2015,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,69.957
2016,Réalisé,Dépenses budgétaires,Service de la dette publique,,1520.4360000000001
2016,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,2466.1049999999996
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,125.173
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,33.603
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.859
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,8.1
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement,68.043
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré,14.173
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,132
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,16.532
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,25
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,11.6
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,647.739
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,261.923
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,108.169
2016,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2016,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,433.394
2017,Réalisé,Dépenses budgétaires,Service de la dette publique,,1973.416
2017,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,2767.902
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,49.741586448
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.276
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement,1.195399517
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré,7.809
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence 
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,8.347543467
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,14.2498871
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,11.614389532
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,711.892193936
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,485.785
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,115.212
2017,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2017,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,558.57
2018,Réalisé,Dépenses budgétaires,Service de la dette publique,,1684.625
2018,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,2762.922
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,69.354
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,38.097
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement,7.63
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence 
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,9.973
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,13.02
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,8.5
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,633.46
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,569.066
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,87.228
2018,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2018,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,611.2150000000001
2019,Réalisé,Dépenses budgétaires,Service de la dette publique,,3065.559
2019,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,2894.923
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D,81.211
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,38.382
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement,47.724
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence 
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes,6.451
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques,0
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle,4
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Autres investissements,662.307
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Emprunts-projets,412.921
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-projets,106.887
2019,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dons-programmes
2019,Réalisé,Dépenses budgétaires,Dépenses des comptes spéciaux du Trésor ,,682.763
