CODE TYPE D'IND.,LIBELLE TYPE D'INDUSTRIES NAEMA REV1 ,Période,Indice
05-09,INDUSTRIES EXTRACTIVES,2021-03-01,131.2
05-09,INDUSTRIES EXTRACTIVES,2021-04-01,100.9
05-09,INDUSTRIES EXTRACTIVES,2021-05-01,130.7
05-09,INDUSTRIES EXTRACTIVES,2021-06-01,154.4
05-09,INDUSTRIES EXTRACTIVES,2021-07-01,138.5
05-09,INDUSTRIES EXTRACTIVES,2021-08-01,124.5
05-09,INDUSTRIES EXTRACTIVES,2021-09-01,144.3
05-09,INDUSTRIES EXTRACTIVES,2021-10-01,87.8
05-09,INDUSTRIES EXTRACTIVES,2021-11-01,178.9
05-09,INDUSTRIES EXTRACTIVES,2021-12-01,148.2
05-09,INDUSTRIES EXTRACTIVES,2022-01-01,127.9
05-09,INDUSTRIES EXTRACTIVES,2022-02-01,167.9
05-09,INDUSTRIES EXTRACTIVES,2022-03-01,150
10-33,INDUSTRIES MANUFACTURIÈRES,2021-03-01,147
10-33,INDUSTRIES MANUFACTURIÈRES,2021-04-01,138.1
10-33,INDUSTRIES MANUFACTURIÈRES,2021-05-01,124.7
10-33,INDUSTRIES MANUFACTURIÈRES,2021-06-01,132.6
10-33,INDUSTRIES MANUFACTURIÈRES,2021-07-01,140
10-33,INDUSTRIES MANUFACTURIÈRES,2021-08-01,133.7
10-33,INDUSTRIES MANUFACTURIÈRES,2021-09-01,142.9
10-33,INDUSTRIES MANUFACTURIÈRES,2021-10-01,138.2
10-33,INDUSTRIES MANUFACTURIÈRES,2021-11-01,152.9
10-33,INDUSTRIES MANUFACTURIÈRES,2021-12-01,173.3
10-33,INDUSTRIES MANUFACTURIÈRES,2022-01-01,142.5
10-33,INDUSTRIES MANUFACTURIÈRES,2022-02-01,157.1
10-33,INDUSTRIES MANUFACTURIÈRES,2022-03-01,179.1
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-03-01,137.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-04-01,126.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-05-01,117.2
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-06-01,113.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-07-01,134.5
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-08-01,136
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-09-01,139.5
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-10-01,148.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-11-01,145.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-12-01,148.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-01-01,150.4
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-02-01,140.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-03-01,152.7
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-03-01,278.6
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-04-01,274.4
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-05-01,272.7
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-06-01,283.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-07-01,286.2
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-08-01,272.9
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-09-01,284
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-10-01,296.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-11-01,290.1
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-12-01,300.9
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-01-01,274.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-02-01,252.5
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-03-01,275.3
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-03-01,151
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-04-01,120.6
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-05-01,98.5
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-06-01,101.1
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-07-01,119.8
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-08-01,111.3
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-09-01,120.7
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-10-01,101.9
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-11-01,112.9
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-12-01,119
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-01-01,114.6
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-02-01,133.5
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-03-01,149.1
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-03-01,123
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-04-01,111.8
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-05-01,105.3
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-06-01,127.9
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-07-01,102.5
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-08-01,81.5
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-09-01,109.3
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-10-01,150.4
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-11-01,150.4
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-12-01,128.9
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2022-01-01,104.5
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2022-02-01,130
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2022-03-01,151.2
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-03-01,82.6
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-04-01,94.9
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-05-01,76.6
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-06-01,70
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-07-01,71.1
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-08-01,87.2
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-09-01,58.1
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-10-01,65.8
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-11-01,68.5
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2021-12-01,64.7
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2022-01-01,52.5
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2022-02-01,48.6
15,"INDUSTRIE DE CUIR, D’ARTICLES DE VOYAGE ET DE CHAUSSURES",2022-03-01,52.4
16,INDUSTRIES DU BOIS,2021-03-01,150.1
16,INDUSTRIES DU BOIS,2021-04-01,145.9
16,INDUSTRIES DU BOIS,2021-05-01,124.3
16,INDUSTRIES DU BOIS,2021-06-01,143.5
16,INDUSTRIES DU BOIS,2021-07-01,143.6
16,INDUSTRIES DU BOIS,2021-08-01,159.2
16,INDUSTRIES DU BOIS,2021-09-01,156.2
16,INDUSTRIES DU BOIS,2021-10-01,426.6
16,INDUSTRIES DU BOIS,2021-11-01,296.7
16,INDUSTRIES DU BOIS,2021-12-01,146.2
16,INDUSTRIES DU BOIS,2022-01-01,130.6
16,INDUSTRIES DU BOIS,2022-02-01,276.6
16,INDUSTRIES DU BOIS,2022-03-01,242.1
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-03-01,124.2
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-04-01,133.1
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-05-01,117.8
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-06-01,118.5
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-07-01,109.4
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-08-01,123.7
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-09-01,114.2
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-10-01,107.6
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-11-01,145.2
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2021-12-01,110.6
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2022-01-01,114.4
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2022-02-01,116.2
17-18,"INDUSTRIES DU PAPIER ET DU CARTON, IMPRIMERIE ET REPRODUCTION D’ENREGISTREMENT",2022-03-01,131.9
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-03-01,113.5
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-04-01,142.2
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-05-01,132.3
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-06-01,139.9
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-07-01,140.4
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-08-01,128.4
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-09-01,133.1
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-10-01,141.2
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-11-01,150.9
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2021-12-01,198.4
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2022-01-01,166.2
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2022-02-01,171.3
19,INDUSTRIES DE TRANSFORMATION DE PRODUITS PETROLIERS,2022-03-01,204.5
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-03-01,169
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-04-01,162
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-05-01,132.3
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-06-01,164.5
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-07-01,146
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-08-01,157.2
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-09-01,164.8
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-10-01,164
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-11-01,165.6
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2021-12-01,175.7
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2022-01-01,170
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2022-02-01,170.7
20-22,"INDUSTRIES CHIMIQUES, PHARMACEUTIQUES, DU CAOUTCHOUC ET DU PLASTIQUE",2022-03-01,198.3
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-03-01,147.8
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-04-01,120.5
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-05-01,116.1
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-06-01,125.3
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-07-01,116.9
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-08-01,127.4
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-09-01,127.4
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-10-01,120.7
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-11-01,128.8
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2021-12-01,123.8
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2022-01-01,134.2
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2022-02-01,131.7
23,INDUSTRIE DE MATÉRIAUX MINÉRAUX,2022-03-01,178.3
24-25,INDUSTRIES MÉTALLIQUES,2021-03-01,158.9
24-25,INDUSTRIES MÉTALLIQUES,2021-04-01,142.9
24-25,INDUSTRIES MÉTALLIQUES,2021-05-01,134.8
24-25,INDUSTRIES MÉTALLIQUES,2021-06-01,128.9
24-25,INDUSTRIES MÉTALLIQUES,2021-07-01,154.9
24-25,INDUSTRIES MÉTALLIQUES,2021-08-01,155
24-25,INDUSTRIES MÉTALLIQUES,2021-09-01,157.7
24-25,INDUSTRIES MÉTALLIQUES,2021-10-01,143.2
24-25,INDUSTRIES MÉTALLIQUES,2021-11-01,165
24-25,INDUSTRIES MÉTALLIQUES,2021-12-01,221
24-25,INDUSTRIES MÉTALLIQUES,2022-01-01,180.4
24-25,INDUSTRIES MÉTALLIQUES,2022-02-01,197.2
24-25,INDUSTRIES MÉTALLIQUES,2022-03-01,216
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-03-01,220.3
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-04-01,168
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-05-01,176.5
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-06-01,245.5
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-07-01,173.4
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-08-01,205.9
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-09-01,227.5
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-10-01,242.5
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-11-01,167
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2021-12-01,251.2
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2022-01-01,184.6
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2022-02-01,222.7
26-28,"INDUSTRIES ÉLECTRONIQUES,INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",2022-03-01,207.8
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-03-01,253.1
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-04-01,177.8
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-05-01,453.7
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-06-01,150.9
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-07-01,165.3
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-08-01,179.7
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-09-01,174.1
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-10-01,97.3
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-11-01,77.5
29-30,INDUSTRIE AUTOMOBILES ET DE MATÉRIELS DE TRANSPORTS,2021-12-01,107.8
