REGION,CHEF-LIEU,DEPARTEMENT,SOUS-PREFECTURE,COMMUNE
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Abobo
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Adjamé
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Attecoubé
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Cocody
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Koumassi
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Marcory
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Plateau
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Port-Bouët
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Treichville
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Yopougon
LAGUNES,ABIDJAN,ABIDJAN,Anyama,Anyama
LAGUNES,ABIDJAN,ABIDJAN,Bingervile,Bingerville
LAGUNES,ABIDJAN,ABIDJAN,Songon,Songon
LAGUNES,ABIDJAN,ALEPE,Alepe,Alépé
LAGUNES,ABIDJAN,ALEPE,Oghwyapo
LAGUNES,ABIDJAN,DABOU,Dabou,Dabou
LAGUNES,ABIDJAN,DABOU,Sikensi,Sikensi
LAGUNES,ABIDJAN,GRAND-LAHOU,Grand-Lahou,Grand-Lahou
LAGUNES,ABIDJAN,JACQUEVILLE,Jacqueville,Jacqueville
LAGUNES,ABIDJAN,TIASSALE,Tiassale,Tiassalé
LAGUNES,ABIDJAN,TIASSALE,Taabo,Taabo
SAVANES,KORHOGO,BOUNDIALI,Dikodougou,Dikodougou
SAVANES,KORHOGO,BOUNDIALI,Guiembe,Guiembé
SAVANES,KORHOGO,BOUNDIALI,Karakoro,Karakoro
SAVANES,KORHOGO,BOUNDIALI,Korhogo,Korhogo
SAVANES,KORHOGO,BOUNDIALI,Komborodougou,Komborodougou
SAVANES,KORHOGO,BOUNDIALI,M'bengue,M'bengué
SAVANES,KORHOGO,BOUNDIALI,Napieledougou,Napiélédougou
SAVANES,KORHOGO,BOUNDIALI,Niofoin,Niofoin
SAVANES,KORHOGO,BOUNDIALI,Tioroniaradougou,Tioroniaradougou
SAVANES,KORHOGO,BOUNDIALI,Sinematiali,Sinematiali
SAVANES,KORHOGO,BOUNDIALI,Sirasso,Sirasso
SAVANES,KORHOGO,BOUNDIALI,Gbon,Gbon
SAVANES,KORHOGO,BOUNDIALI,Boundiali,Boundiali
SAVANES,KORHOGO,BOUNDIALI,Kassere,Kasséré
SAVANES,KORHOGO,BOUNDIALI,Kolia,Kolia
SAVANES,KORHOGO,BOUNDIALI,Kouto,Kouto
SAVANES,KORHOGO,FERKESSEDOUGOU,Diawala,Diawala
SAVANES,KORHOGO,FERKESSEDOUGOU,Ferkessedougou,Ferkessedougou
SAVANES,KORHOGO,FERKESSEDOUGOU,Kong,Kong
SAVANES,KORHOGO,FERKESSEDOUGOU,Koumbala,Koumbala
SAVANES,KORHOGO,FERKESSEDOUGOU,Nielle,Niellé
SAVANES,KORHOGO,FERKESSEDOUGOU,Ouangolodougou,Ouangolodougou
SAVANES,KORHOGO,TENGRELA,Kanakono,Kanakono
SAVANES,KORHOGO,TENGRELA,Tengrela,Tengréla
SUD-COMOE,ABOISSO,ABOISSO,Aboisso,Aboisso
SUD-COMOE,ABOISSO,ABOISSO,Ayame,Ayamé
SUD-COMOE,ABOISSO,ABOISSO,Bianouan
SUD-COMOE,ABOISSO,ABOISSO,Mafere,Maféré
SUD-COMOE,ABOISSO,ABOISSO,Tiapoum,Tiapoum
SUD-COMOE,ABOISSO,  ADIAKE,Adiake,Adiaké
SUD-COMOE,ABOISSO,  ADIAKE,Assinie-mafia
SUD-COMOE,ABOISSO,  ADIAKE,Etueboue,Etuéboué
SUD-COMOE,ABOISSO,GRAND-BASSAM,Grand-bassam,Grand-Bassam
SUD-COMOE,ABOISSO,GRAND-BASSAM,Bonoua,Bonoua
HAUT-SASSANDRA,DALOA,DALOA,Bediala,Bediala
HAUT-SASSANDRA,DALOA,DALOA,Daloa,Daloa
HAUT-SASSANDRA,DALOA,DALOA,Gadouan
HAUT-SASSANDRA,DALOA,DALOA,Gboguhe,Gboguhé
HAUT-SASSANDRA,DALOA,DALOA,Zaïbo
HAUT-SASSANDRA,DALOA,DALOA,Zoukougbeu,Zoukougbeu
HAUT-SASSANDRA,DALOA,  ISSIA,Boguedia
HAUT-SASSANDRA,DALOA,  ISSIA,Iboguhe
HAUT-SASSANDRA,DALOA,  ISSIA,Issia,Issia
HAUT-SASSANDRA,DALOA,  ISSIA,Saïoua,Saïoua
HAUT-SASSANDRA,DALOA,  VAVOUA,Dania
HAUT-SASSANDRA,DALOA,  VAVOUA,Seitifla
HAUT-SASSANDRA,DALOA,  VAVOUA,Vavoua,Vavoua
AGNEBY,AGBOVILLE,AGBOVILLE,Agboville,Agboville
AGNEBY,AGBOVILLE,AGBOVILLE,Azaguie,Azaguié
AGNEBY,AGBOVILLE,AGBOVILLE,Cechi
AGNEBY,AGBOVILLE,AGBOVILLE,Grand morie
AGNEBY,AGBOVILLE,AGBOVILLE,Oress-krobou
AGNEBY,AGBOVILLE,AGBOVILLE,Rubino,Rubino
AGNEBY,AGBOVILLE,  ADZOPE,Adzope,Adzopé
AGNEBY,AGBOVILLE,  ADZOPE,Agou,Agou
AGNEBY,AGBOVILLE,  ADZOPE,Affery,Afféry
AGNEBY,AGBOVILLE,  ADZOPE,Becedi-brignan
AGNEBY,AGBOVILLE,  ADZOPE,Akoupe,Akoupé
AGNEBY,AGBOVILLE,  ADZOPE,Assikoi
AGNEBY,AGBOVILLE,  ADZOPE,Yakasse-attobrou,Yakassé-Attobrou
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Abengourou,Abengourou
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Bettie,Bettié
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Niable,Niablé
MOYEN COMOE  ,ABENGOUROU,AGNIBILEKROU,Agnibilekrou,Agnibilékrou
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Diabo,Diabo
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Djebonoua,Djebonoua
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Brobo,Brobo
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Botro,Botro
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Bouake,Bouaké
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Languibonou
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Beoumi,Beoumi
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Bodokro,Bodokro
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Ando-kekrenou
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Kondrobo
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Bassawa,Bassawa
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Bonieredougou,Bonieredougou
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Dabakala,Dabakala
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Foumbolo,Foumbolo
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Satama-sokoro,Satama-Sokoro
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Satama-sokouro,Satama-Sokouro
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Fronan,Fronan
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Katiola,Katiola
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Niakaramandougou,Niakaramandougou
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Tafire,Tafiré
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Tortiya,Tortiya
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Timbe
VALLEE DU BANDAMA,BOUAKE,SAKASSOU,Sakassou,Sakassou
VALLEE DU BANDAMA,BOUAKE,SAKASSOU,Tomoudi-sakassou
MONTAGNES,MAN,MAN,Man,Man
MONTAGNES,MAN,MAN,Facobly,Facobly
MONTAGNES,MAN,MAN,Kouibly,Kouibly
MONTAGNES,MAN,MAN,Logouale,Logoualé
MONTAGNES,MAN,MAN,Sangouine,Sangouiné
MONTAGNES,MAN,MAN,Semien
MONTAGNES,MAN,MAN,Niadrou
MONTAGNES,MAN,MAN,Totrodrou
MONTAGNES,MAN,BANGOLO,Bangolo,Bangolo
MONTAGNES,MAN,BANGOLO,Dieouzon
MONTAGNES,MAN,BANGOLO,Zeo
MONTAGNES,MAN,BANGOLO,Zou
MONTAGNES,MAN,BIANKOUMA,Biankouma,Biankouma
MONTAGNES,MAN,BIANKOUMA,Gbonne,Gbonné
MONTAGNES,MAN,BIANKOUMA,Sipilou,Sipilou
MONTAGNES,MAN,DANANE,Danane,Danané
MONTAGNES,MAN,DANANE,Bin-houye,Bin-Houyé
MONTAGNES,MAN,DANANE,Zouan-hounien,Zouan-Hounien
MONTAGNES,MAN,DANANE,Mahapleu
 SUD-BANDAMA,DIVO,DIVO,DIVO,Divo
 SUD-BANDAMA,DIVO,DIVO,FRESCO,Fresco
 SUD-BANDAMA,DIVO,DIVO,GUITRY,Guitry
 SUD-BANDAMA,DIVO,DIVO,HIRE,Hiré
 SUD-BANDAMA,DIVO,DIVO,YOCOBOUE
 SUD-BANDAMA,DIVO,LAKOTA,LAKOTA,Lakota
 SUD-BANDAMA,DIVO,LAKOTA,NIAMBEZARIA
 SUD-BANDAMA,DIVO,LAKOTA,ZIKISSO,Zikisso
FROMAGER,GAGNOA,GAGNOA,Bayota
FROMAGER,GAGNOA,GAGNOA,Gagnoa,Gagnoa
FROMAGER,GAGNOA,GAGNOA,Gnagbodougnoa
FROMAGER,GAGNOA,GAGNOA,Guiberoua,Guibéroua
FROMAGER,GAGNOA,GAGNOA,Ouragahio,Ouragahio
FROMAGER,GAGNOA,OUME,Diegonefla,Diégonéfla
FROMAGER,GAGNOA,OUME,Oume,Oumé
LACS ,YAMOUSSOUKRO,YAMOUSSOUKRO,Yamoussoukro,Yamoussoukro
LACS ,YAMOUSSOUKRO,YAMOUSSOUKRO,Didievi,Didiévi
LACS ,YAMOUSSOUKRO,YAMOUSSOUKRO,Attiegouakro
LACS ,YAMOUSSOUKRO,TIEBISSOU,Tiebissou,Tiébissou
LACS ,YAMOUSSOUKRO,TIEBISSOU,Tie-n’diekro,Tié-N’diekro
LACS ,YAMOUSSOUKRO,TOUMODI,Toumodi,Toumodi
LACS ,YAMOUSSOUKRO,TOUMODI,Djekanou,Djékanou
LACS ,YAMOUSSOUKRO,TOUMODI,Angoda
LACS ,YAMOUSSOUKRO,TOUMODI,Kpouebo
LACS ,YAMOUSSOUKRO,TOUMODI,Kokoumbo,Kokoumbo
MOYEN CAVALLY,GUIGLO,DUEKOUE,DUEKOUE,Duékoué
MOYEN CAVALLY,GUIGLO,DUEKOUE,BAGOHOUO
MOYEN CAVALLY,GUIGLO,DUEKOUE,GBAPLEU
MOYEN CAVALLY,GUIGLO,DUEKOUE,GUEHIEBLY
MOYEN CAVALLY,GUIGLO,DUEKOUE,GUEZON
MOYEN CAVALLY,GUIGLO,GUIGLO,BLOLEQUIN,Bloléquin
MOYEN CAVALLY,GUIGLO,GUIGLO,GUIGLO,Guiglo
MOYEN CAVALLY,GUIGLO,GUIGLO,TAÏ,Taï
MOYEN CAVALLY,GUIGLO,TOULEPLEU,TOULEPLEU,Toulepleu
MOYEN CAVALLY,GUIGLO,TOULEPLEU,BAKOUBLY
MOYEN CAVALLY,GUIGLO,TOULEPLEU,PEHE
MOYEN CAVALLY,GUIGLO,TOULEPLEU,TIOBLY
ZANZAN,BONDOUKOU,BONDOUKOU,Bondoukou,Bondoukou
ZANZAN,BONDOUKOU,BONDOUKOU,Goumere
ZANZAN,BONDOUKOU,BONDOUKOU,Tabagne
ZANZAN,BONDOUKOU,BONDOUKOU,Taoudi
ZANZAN,BONDOUKOU,BONDOUKOU,Sorobango
ZANZAN,BONDOUKOU,BONDOUKOU,Sapli
ZANZAN,BONDOUKOU,BONDOUKOU,Sandegue,Sandégué
ZANZAN,BONDOUKOU,BOUNA,Bouna,Bouna
ZANZAN,BONDOUKOU,BOUNA,Doropo,Doropo
ZANZAN,BONDOUKOU,BOUNA,Nassian,Nassian
ZANZAN,BONDOUKOU,BOUNA,Tehini,Tehini
ZANZAN,BONDOUKOU,TANDA,Tanda,Tanda
ZANZAN,BONDOUKOU,TANDA,Assuefry,Assuefry
ZANZAN,BONDOUKOU,TANDA,Kouassi-datekro,Kouassi-datekro
ZANZAN,BONDOUKOU,TANDA,Transua,Transua
ZANZAN,BONDOUKOU,TANDA,Tankesse
BAFFING, TOUBA, TOUBA,BOOKO,Booko
BAFFING, TOUBA, TOUBA,BOROTOU,Borotou
BAFFING, TOUBA, TOUBA,GUINTEGUELA,Guintéguéla
BAFFING, TOUBA, TOUBA,KOONAN,Koonan
BAFFING, TOUBA, TOUBA,KORO,Koro
BAFFING, TOUBA, TOUBA,OUANINOU,Ouaninou
BAFFING, TOUBA, TOUBA,TOUBA,Touba
BAFFING, TOUBA, TOUBA,FOUNGBESSO
 BAS-SASSANDRA,SAN-PEDRO,SAN-PEDRO,GRAND-BEREBY,Grand-Béréby
 BAS-SASSANDRA,SAN-PEDRO,SAN-PEDRO,SAN-PEDRO,San-Pédro
 BAS-SASSANDRA,SAN-PEDRO,SASSANDRA,GUEYO
 BAS-SASSANDRA,SAN-PEDRO,SASSANDRA,SASSANDRA,Sassandra
 BAS-SASSANDRA,SAN-PEDRO,SASSANDRA,SAGO
 BAS-SASSANDRA,SAN-PEDRO,SOUBRE,BUYO,Buyo
 BAS-SASSANDRA,SAN-PEDRO,SOUBRE,GRAND-ZATTRY,Grand-Zattry
 BAS-SASSANDRA,SAN-PEDRO,SOUBRE,MEAGUI,Méagui
 BAS-SASSANDRA,SAN-PEDRO,SOUBRE,OKROUYO
 BAS-SASSANDRA,SAN-PEDRO,SOUBRE,SOUBRE,Soubré
 BAS-SASSANDRA,SAN-PEDRO,TABOU,GRABO,Grabo
 BAS-SASSANDRA,SAN-PEDRO,TABOU,TABOU,Tabou
N'ZI COMOE,DIMBOKRO,DIMBOKRO,Dimbokro,Dimbokro
N'ZI COMOE,DIMBOKRO,BONGOUANOU,Anoumaba,Anoumaba
N'ZI COMOE,DIMBOKRO,BONGOUANOU,Arrah,Arrah
N'ZI COMOE,DIMBOKRO,BONGOUANOU,Bongouanou,Bongouanou
N'ZI COMOE,DIMBOKRO,BONGOUANOU,M'batto,M'batto
N'ZI COMOE,DIMBOKRO,BONGOUANOU,Tiemelekro,Tiemelékro
N'ZI COMOE,DIMBOKRO,BOCANDA,Bocanda,Bocanda
N'ZI COMOE,DIMBOKRO,DAOUKRO,Daoukro,Daoukro
N'ZI COMOE,DIMBOKRO,DAOUKRO,Ettrokro,Ettrokro
N'ZI COMOE,DIMBOKRO,DAOUKRO,Kouassi-kouassikro,Kouassi-Kouassikro
N'ZI COMOE,DIMBOKRO,DAOUKRO,Ouelle,Ouellé
N'ZI COMOE,DIMBOKRO,M'BAHIAKRO,M'bahiakro,M'bahiakro
N'ZI COMOE,DIMBOKRO,M'BAHIAKRO,Banguera,Banguera
N'ZI COMOE,DIMBOKRO,M'BAHIAKRO,Koffi-amonkro,Koffi-amonkro
N'ZI COMOE,DIMBOKRO,M'BAHIAKRO,Prikro,Prikro
MARAHOUE,BOUAFLE,BOUAFLE,Bonon,Bonon
MARAHOUE,BOUAFLE,BOUAFLE,Bouafle,Bouaflé
MARAHOUE,BOUAFLE,SINFRA,Sinfra,Sinfra
MARAHOUE,BOUAFLE,SINFRA,Kouetinfla
MARAHOUE,BOUAFLE,SINFRA,Bazre
MARAHOUE,BOUAFLE,SINFRA,Konefla
MARAHOUE,BOUAFLE,ZUENOULA,Gohitafla,Gohitafla
MARAHOUE,BOUAFLE,ZUENOULA,Zuenoula,Zuénoula
WORODOUGOU,SEGUELA,MANKONO,Dianra,Dianra
WORODOUGOU,SEGUELA,MANKONO,Kongasso,Kongasso
WORODOUGOU,SEGUELA,MANKONO,Kounahiri,Kounahiri
WORODOUGOU,SEGUELA,MANKONO,Mankono,Mankono
WORODOUGOU,SEGUELA,MANKONO,Marandallah,Marandallah
WORODOUGOU,SEGUELA,MANKONO,Sarhala,Sarhala
WORODOUGOU,SEGUELA,MANKONO,Tieningboue,Tieningboue
WORODOUGOU,SEGUELA,SEGUELA,Djibrosso,Djibrosso
WORODOUGOU,SEGUELA,SEGUELA,Dualla,Dualla
WORODOUGOU,SEGUELA,SEGUELA,Kani,Kani
WORODOUGOU,SEGUELA,SEGUELA,Massala,Massala
WORODOUGOU,SEGUELA,SEGUELA,Morondo,Morondo
WORODOUGOU,SEGUELA,SEGUELA,Seguela,Seguela
WORODOUGOU,SEGUELA,SEGUELA,Sifie,Sifié
WORODOUGOU,SEGUELA,SEGUELA,Worofla,Worofla
DENGUELE,ODIENNE,ODIENNE,Bako,Bako
DENGUELE,ODIENNE,ODIENNE,Dioulatiedougou,Dioulatiédougou
DENGUELE,ODIENNE,ODIENNE,Gbeleban
DENGUELE,ODIENNE,ODIENNE,Goulia,Goulia
DENGUELE,ODIENNE,ODIENNE,Kaniasso,Kaniasso
DENGUELE,ODIENNE,ODIENNE,Madinani,Madinani
DENGUELE,ODIENNE,ODIENNE,Minignan,Minignan
DENGUELE,ODIENNE,ODIENNE,Odienne,Odienné
DENGUELE,ODIENNE,ODIENNE,Samatiguila,Samatiguila
DENGUELE,ODIENNE,ODIENNE,Seguelon,Séguélon
DENGUELE,ODIENNE,ODIENNE,Seydougou,Seydougou
DENGUELE,ODIENNE,ODIENNE,Tieme,Tiémé
DENGUELE,ODIENNE,ODIENNE,Tienko,Tienko
