PERIODE,STATUT,VILLE,DRENET,SEXE,EFFECTIF
2018-2019,PUBLIC,ABENGOUROU,ABENGOUROU,MASCULIN,21040
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 1,MASCULIN,23046
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 2,MASCULIN,21469
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 3,MASCULIN,16980
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 4,MASCULIN,14796
2018-2019,PUBLIC,ABOISSO,ABOISSO,MASCULIN,24375
2018-2019,PUBLIC,ADZOPE,ADZOPE,MASCULIN,19242
2018-2019,PUBLIC,AGBOVILLE,AGBOVILLE,MASCULIN,20771
2018-2019,PUBLIC,BONDOUKOU,BONDOUKOU,MASCULIN,21078
2018-2019,PUBLIC,BONGOUANOU,BONGOUANOU,MASCULIN,11867
2018-2019,PUBLIC,BOUAFLE,BOUAFLE,MASCULIN,23333
2018-2019,PUBLIC,BOUAKE ,BOUAKE 1,MASCULIN,9665
2018-2019,PUBLIC,BOUAKE ,BOUAKE 2,MASCULIN,26279
2018-2019,PUBLIC,BOUNA,BOUNA,MASCULIN,5302
2018-2019,PUBLIC,BOUNDIALI,BOUNDIALI,MASCULIN,10173
2018-2019,PUBLIC,DABOU,DABOU,MASCULIN,14002
2018-2019,PUBLIC,DALOA,DALOA,MASCULIN,37132
2018-2019,PUBLIC,DAOUKRO,DAOUKRO,MASCULIN,10623
2018-2019,PUBLIC,DIMBOKRO,DIMBOKRO,MASCULIN,10061
2018-2019,PUBLIC,DIVO,DIVO,MASCULIN,23717
2018-2019,PUBLIC,DUEKOUE,DUEKOUE,MASCULIN,13208
2018-2019,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,10472
2018-2019,PUBLIC,GAGNOA,GAGNOA,MASCULIN,26146
2018-2019,PUBLIC,GUIGLO,GUIGLO,MASCULIN,11428
2018-2019,PUBLIC,KATIOLA,KATIOLA,MASCULIN,12306
2018-2019,PUBLIC,KORHOGO,KORHOGO,MASCULIN,23506
2018-2019,PUBLIC,MAN,MAN,MASCULIN,31929
2018-2019,PUBLIC,MANKONO,MANKONO,MASCULIN,9191
2018-2019,PUBLIC,MINIGNAN,MINIGNAN,MASCULIN,1784
2018-2019,PUBLIC,ODIENNE,ODIENNE,MASCULIN,6766
2018-2019,PUBLIC,SAN-PEDRO,SAN-PEDRO,MASCULIN,17118
2018-2019,PUBLIC,SASSANDRA,SASSANDRA,MASCULIN,6067
2018-2019,PUBLIC,SEGUELA,SEGUELA,MASCULIN,7624
2018-2019,PUBLIC,SOUBRE,SOUBRE,MASCULIN,17584
2018-2019,PUBLIC,TOUBA,TOUBA,MASCULIN,3890
2018-2019,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,25330
2019-2020,PUBLIC,ABENGOUROU,ABENGOUROU,MASCULIN,20916
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 1,MASCULIN,22625
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 2,MASCULIN,21482
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 3,MASCULIN,17547
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 4,MASCULIN,15139
2019-2020,PUBLIC,ABOISSO,ABOISSO,MASCULIN,24826
2019-2020,PUBLIC,ADZOPE,ADZOPE,MASCULIN,19800
2019-2020,PUBLIC,AGBOVILLE,AGBOVILLE,MASCULIN,21315
2019-2020,PUBLIC,BONDOUKOU,BONDOUKOU,MASCULIN,21285
2019-2020,PUBLIC,BONGOUANOU,BONGOUANOU,MASCULIN,11692
2019-2020,PUBLIC,BOUAFLE,BOUAFLE,MASCULIN,23708
2019-2020,PUBLIC,BOUAKE ,BOUAKE 1,MASCULIN,9766
2019-2020,PUBLIC,BOUAKE ,BOUAKE 2,MASCULIN,25801
2019-2020,PUBLIC,BOUNA,BOUNA,MASCULIN,5719
2019-2020,PUBLIC,BOUNDIALI,BOUNDIALI,MASCULIN,10561
2019-2020,PUBLIC,DABOU,DABOU,MASCULIN,14441
2019-2020,PUBLIC,DALOA,DALOA,MASCULIN,37672
2019-2020,PUBLIC,DAOUKRO,DAOUKRO,MASCULIN,11813
2019-2020,PUBLIC,DIMBOKRO,DIMBOKRO,MASCULIN,10696
2019-2020,PUBLIC,DIVO,DIVO,MASCULIN,25169
2019-2020,PUBLIC,DUEKOUE,DUEKOUE,MASCULIN,11787
2019-2020,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,10775
2019-2020,PUBLIC,GAGNOA,GAGNOA,MASCULIN,26766
2019-2020,PUBLIC,GUIGLO,GUIGLO,MASCULIN,11960
2019-2020,PUBLIC,KATIOLA,KATIOLA,MASCULIN,12707
2019-2020,PUBLIC,KORHOGO,KORHOGO,MASCULIN,26000
2019-2020,PUBLIC,MAN,MAN,MASCULIN,32239
2019-2020,PUBLIC,MANKONO,MANKONO,MASCULIN,8835
2019-2020,PUBLIC,MINIGNAN,MINIGNAN,MASCULIN,1988
2019-2020,PUBLIC,ODIENNE,ODIENNE,MASCULIN,7124
2019-2020,PUBLIC,SAN-PEDRO,SAN-PEDRO,MASCULIN,17317
2019-2020,PUBLIC,SASSANDRA,SASSANDRA,MASCULIN,5974
2019-2020,PUBLIC,SEGUELA,SEGUELA,MASCULIN,8251
2019-2020,PUBLIC,SOUBRE,SOUBRE,MASCULIN,17818
2019-2020,PUBLIC,TOUBA,TOUBA,MASCULIN,4495
2019-2020,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,25693
2020-2021,PUBLIC,ABENGOUROU,ABENGOUROU,MASCULIN,20093
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 1,MASCULIN,21922
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 2,MASCULIN,21712
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 3,MASCULIN,15184
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 4,MASCULIN,14973
2020-2021,PUBLIC,ABOISSO,ABOISSO,MASCULIN,25218
2020-2021,PUBLIC,ADZOPE,ADZOPE,MASCULIN,19489
2020-2021,PUBLIC,AGBOVILLE,AGBOVILLE,MASCULIN,20570
2020-2021,PUBLIC,BONDOUKOU,BONDOUKOU,MASCULIN,22043
2020-2021,PUBLIC,BONGOUANOU,BONGOUANOU,MASCULIN,12231
2020-2021,PUBLIC,BOUAFLE,BOUAFLE,MASCULIN,23341
2020-2021,PUBLIC,BOUAKE ,BOUAKE 1,MASCULIN,10450
2020-2021,PUBLIC,BOUAKE ,BOUAKE 2,MASCULIN,25891
2020-2021,PUBLIC,BOUNA,BOUNA,MASCULIN,5897
2020-2021,PUBLIC,BOUNDIALI,BOUNDIALI,MASCULIN,10961
2020-2021,PUBLIC,DABOU,DABOU,MASCULIN,14360
2020-2021,PUBLIC,DALOA,DALOA,MASCULIN,35929
2020-2021,PUBLIC,DAOUKRO,DAOUKRO,MASCULIN,11753
2020-2021,PUBLIC,DIMBOKRO,DIMBOKRO,MASCULIN,10263
2020-2021,PUBLIC,DIVO,DIVO,MASCULIN,23307
2020-2021,PUBLIC,DUEKOUE,DUEKOUE,MASCULIN,11943
2020-2021,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,11299
2020-2021,PUBLIC,GAGNOA,GAGNOA,MASCULIN,24138
2020-2021,PUBLIC,GUIGLO,GUIGLO,MASCULIN,11783
2020-2021,PUBLIC,KATIOLA,KATIOLA,MASCULIN,13880
2020-2021,PUBLIC,KORHOGO,KORHOGO,MASCULIN,27283
2020-2021,PUBLIC,MAN,MAN,MASCULIN,32965
2020-2021,PUBLIC,MANKONO,MANKONO,MASCULIN,9307
2020-2021,PUBLIC,MINIGNAN,MINIGNAN,MASCULIN,2335
2020-2021,PUBLIC,ODIENNE,ODIENNE,MASCULIN,7422
2020-2021,PUBLIC,SAN-PEDRO,SAN-PEDRO,MASCULIN,17153
2020-2021,PUBLIC,SASSANDRA,SASSANDRA,MASCULIN,5662
2020-2021,PUBLIC,SEGUELA,SEGUELA,MASCULIN,9002
2020-2021,PUBLIC,SOUBRE,SOUBRE,MASCULIN,16587
2020-2021,PUBLIC,TOUBA,TOUBA,MASCULIN,5179
2020-2021,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,25081
2018-2019,PRIVE,ABENGOUROU,ABENGOUROU,MASCULIN,7937
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 1,MASCULIN,23319
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 2,MASCULIN,36924
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 3,MASCULIN,68888
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 4,MASCULIN,62711
2018-2019,PRIVE,ABOISSO,ABOISSO,MASCULIN,10497
2018-2019,PRIVE,ADZOPE,ADZOPE,MASCULIN,10027
2018-2019,PRIVE,AGBOVILLE,AGBOVILLE,MASCULIN,19450
2018-2019,PRIVE,BONDOUKOU,BONDOUKOU,MASCULIN,9809
2018-2019,PRIVE,BONGOUANOU,BONGOUANOU,MASCULIN,8929
2018-2019,PRIVE,BOUAFLE,BOUAFLE,MASCULIN,26308
2018-2019,PRIVE,BOUAKE ,BOUAKE 1,MASCULIN,9005
2018-2019,PRIVE,BOUAKE ,BOUAKE 2,MASCULIN,15284
2018-2019,PRIVE,BOUNA,BOUNA,MASCULIN,884
2018-2019,PRIVE,BOUNDIALI,BOUNDIALI,MASCULIN,3716
2018-2019,PRIVE,DABOU,DABOU,MASCULIN,8715
2018-2019,PRIVE,DALOA,DALOA,MASCULIN,53991
2018-2019,PRIVE,DAOUKRO,DAOUKRO,MASCULIN,7924
2018-2019,PRIVE,DIMBOKRO,DIMBOKRO,MASCULIN,4740
2018-2019,PRIVE,DIVO,DIVO,MASCULIN,28611
2018-2019,PRIVE,DUEKOUE,DUEKOUE,MASCULIN,22463
2018-2019,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,3527
2018-2019,PRIVE,GAGNOA,GAGNOA,MASCULIN,24021
2018-2019,PRIVE,GUIGLO,GUIGLO,MASCULIN,7206
2018-2019,PRIVE,KATIOLA,KATIOLA,MASCULIN,4482
2018-2019,PRIVE,KORHOGO,KORHOGO,MASCULIN,12005
2018-2019,PRIVE,MAN,MAN,MASCULIN,16860
2018-2019,PRIVE,MANKONO,MANKONO,MASCULIN,2933
2018-2019,PRIVE,MINIGNAN,MINIGNAN,MASCULIN,167
2018-2019,PRIVE,ODIENNE,ODIENNE,MASCULIN,1734
2018-2019,PRIVE,SAN-PEDRO,SAN-PEDRO,MASCULIN,19777
2018-2019,PRIVE,SASSANDRA,SASSANDRA,MASCULIN,6802
2018-2019,PRIVE,SEGUELA,SEGUELA,MASCULIN,2807
2018-2019,PRIVE,SOUBRE,SOUBRE,MASCULIN,31035
2018-2019,PRIVE,TOUBA,TOUBA,MASCULIN,1048
2018-2019,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,18178
2019-2020,PRIVE,ABENGOUROU,ABENGOUROU,MASCULIN,8471
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 1,MASCULIN,29308
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 2,MASCULIN,37320
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 3,MASCULIN,72784
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 4,MASCULIN,68897
2019-2020,PRIVE,ABOISSO,ABOISSO,MASCULIN,11598
2019-2020,PRIVE,ADZOPE,ADZOPE,MASCULIN,10069
2019-2020,PRIVE,AGBOVILLE,AGBOVILLE,MASCULIN,20612
2019-2020,PRIVE,BONDOUKOU,BONDOUKOU,MASCULIN,9082
2019-2020,PRIVE,BONGOUANOU,BONGOUANOU,MASCULIN,9565
2019-2020,PRIVE,BOUAFLE,BOUAFLE,MASCULIN,27777
2019-2020,PRIVE,BOUAKE ,BOUAKE 1,MASCULIN,10596
2019-2020,PRIVE,BOUAKE ,BOUAKE 2,MASCULIN,17936
2019-2020,PRIVE,BOUNA,BOUNA,MASCULIN,1189
2019-2020,PRIVE,BOUNDIALI,BOUNDIALI,MASCULIN,4937
2019-2020,PRIVE,DABOU,DABOU,MASCULIN,9561
2019-2020,PRIVE,DALOA,DALOA,MASCULIN,57727
2019-2020,PRIVE,DAOUKRO,DAOUKRO,MASCULIN,7968
2019-2020,PRIVE,DIMBOKRO,DIMBOKRO,MASCULIN,4633
2019-2020,PRIVE,DIVO,DIVO,MASCULIN,29769
2019-2020,PRIVE,DUEKOUE,DUEKOUE,MASCULIN,25048
2019-2020,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,3699
2019-2020,PRIVE,GAGNOA,GAGNOA,MASCULIN,26372
2019-2020,PRIVE,GUIGLO,GUIGLO,MASCULIN,7940
2019-2020,PRIVE,KATIOLA,KATIOLA,MASCULIN,4892
2019-2020,PRIVE,KORHOGO,KORHOGO,MASCULIN,14552
2019-2020,PRIVE,MAN,MAN,MASCULIN,18913
2019-2020,PRIVE,MANKONO,MANKONO,MASCULIN,3773
2019-2020,PRIVE,MINIGNAN,MINIGNAN,MASCULIN,204
2019-2020,PRIVE,ODIENNE,ODIENNE,MASCULIN,1882
2019-2020,PRIVE,SAN-PEDRO,SAN-PEDRO,MASCULIN,21995
2019-2020,PRIVE,SASSANDRA,SASSANDRA,MASCULIN,8072
2019-2020,PRIVE,SEGUELA,SEGUELA,MASCULIN,2832
2019-2020,PRIVE,SOUBRE,SOUBRE,MASCULIN,32951
2019-2020,PRIVE,TOUBA,TOUBA,MASCULIN,1088
2019-2020,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,18740
2020-2021,PRIVE,ABENGOUROU,ABENGOUROU,MASCULIN,10062
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 1,MASCULIN,30529
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 2,MASCULIN,39862
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 3,MASCULIN,75932
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 4,MASCULIN,73136
2020-2021,PRIVE,ABOISSO,ABOISSO,MASCULIN,13571
2020-2021,PRIVE,ADZOPE,ADZOPE,MASCULIN,10959
2020-2021,PRIVE,AGBOVILLE,AGBOVILLE,MASCULIN,23362
2020-2021,PRIVE,BONDOUKOU,BONDOUKOU,MASCULIN,10252
2020-2021,PRIVE,BONGOUANOU,BONGOUANOU,MASCULIN,10684
2020-2021,PRIVE,BOUAFLE,BOUAFLE,MASCULIN,30410
2020-2021,PRIVE,BOUAKE ,BOUAKE 1,MASCULIN,10979
2020-2021,PRIVE,BOUAKE ,BOUAKE 2,MASCULIN,20685
2020-2021,PRIVE,BOUNA,BOUNA,MASCULIN,1540
2020-2021,PRIVE,BOUNDIALI,BOUNDIALI,MASCULIN,6103
2020-2021,PRIVE,DABOU,DABOU,MASCULIN,10067
2020-2021,PRIVE,DALOA,DALOA,MASCULIN,66043
2020-2021,PRIVE,DAOUKRO,DAOUKRO,MASCULIN,7962
2020-2021,PRIVE,DIMBOKRO,DIMBOKRO,MASCULIN,5024
2020-2021,PRIVE,DIVO,DIVO,MASCULIN,34167
2020-2021,PRIVE,DUEKOUE,DUEKOUE,MASCULIN,28800
2020-2021,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,MASCULIN,4687
2020-2021,PRIVE,GAGNOA,GAGNOA,MASCULIN,30210
2020-2021,PRIVE,GUIGLO,GUIGLO,MASCULIN,9251
2020-2021,PRIVE,KATIOLA,KATIOLA,MASCULIN,6502
2020-2021,PRIVE,KORHOGO,KORHOGO,MASCULIN,17052
2020-2021,PRIVE,MAN,MAN,MASCULIN,22445
2020-2021,PRIVE,MANKONO,MANKONO,MASCULIN,5709
2020-2021,PRIVE,MINIGNAN,MINIGNAN,MASCULIN,274
2020-2021,PRIVE,ODIENNE,ODIENNE,MASCULIN,1967
2020-2021,PRIVE,SAN-PEDRO,SAN-PEDRO,MASCULIN,26249
2020-2021,PRIVE,SASSANDRA,SASSANDRA,MASCULIN,9224
