PERIODE,STATUT,VILLE,DRENET,SEXE,EFFECTIF
2020-2021,PRIVE,SEGUELA,SEGUELA,MASCULIN,3126
2020-2021,PRIVE,SOUBRE,SOUBRE,MASCULIN,38251
2020-2021,PRIVE,TOUBA,TOUBA,MASCULIN,1215
2020-2021,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,MASCULIN,20999
2018-2019,PUBLIC,ABENGOUROU,ABENGOUROU,FEMININ,15981
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 1,FEMININ,24532
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 2,FEMININ,23287
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 3,FEMININ,20554
2018-2019,PUBLIC,ABIDJAN ,ABIDJAN 4,FEMININ,15068
2018-2019,PUBLIC,ABOISSO,ABOISSO,FEMININ,21314
2018-2019,PUBLIC,ADZOPE,ADZOPE,FEMININ,15508
2018-2019,PUBLIC,AGBOVILLE,AGBOVILLE,FEMININ,15631
2018-2019,PUBLIC,BONDOUKOU,BONDOUKOU,FEMININ,15357
2018-2019,PUBLIC,BONGOUANOU,BONGOUANOU,FEMININ,9027
2018-2019,PUBLIC,BOUAFLE,BOUAFLE,FEMININ,13840
2018-2019,PUBLIC,BOUAKE ,BOUAKE 1,FEMININ,9769
2018-2019,PUBLIC,BOUAKE ,BOUAKE 2,FEMININ,18053
2018-2019,PUBLIC,BOUNA,BOUNA,FEMININ,3812
2018-2019,PUBLIC,BOUNDIALI,BOUNDIALI,FEMININ,8735
2018-2019,PUBLIC,DABOU,DABOU,FEMININ,11511
2018-2019,PUBLIC,DALOA,DALOA,FEMININ,24052
2018-2019,PUBLIC,DAOUKRO,DAOUKRO,FEMININ,7536
2018-2019,PUBLIC,DIMBOKRO,DIMBOKRO,FEMININ,6861
2018-2019,PUBLIC,DIVO,DIVO,FEMININ,16135
2018-2019,PUBLIC,DUEKOUE,DUEKOUE,FEMININ,7338
2018-2019,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,8803
2018-2019,PUBLIC,GAGNOA,GAGNOA,FEMININ,17255
2018-2019,PUBLIC,GUIGLO,GUIGLO,FEMININ,7511
2018-2019,PUBLIC,KATIOLA,KATIOLA,FEMININ,8715
2018-2019,PUBLIC,KORHOGO,KORHOGO,FEMININ,19396
2018-2019,PUBLIC,MAN,MAN,FEMININ,19800
2018-2019,PUBLIC,MANKONO,MANKONO,FEMININ,5497
2018-2019,PUBLIC,MINIGNAN,MINIGNAN,FEMININ,837
2018-2019,PUBLIC,ODIENNE,ODIENNE,FEMININ,4410
2018-2019,PUBLIC,SAN-PEDRO,SAN-PEDRO,FEMININ,12679
2018-2019,PUBLIC,SASSANDRA,SASSANDRA,FEMININ,3873
2018-2019,PUBLIC,SEGUELA,SEGUELA,FEMININ,4686
2018-2019,PUBLIC,SOUBRE,SOUBRE,FEMININ,10598
2018-2019,PUBLIC,TOUBA,TOUBA,FEMININ,2244
2018-2019,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,18085
2019-2020,PUBLIC,ABENGOUROU,ABENGOUROU,FEMININ,17153
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 1,FEMININ,25238
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 2,FEMININ,23519
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 3,FEMININ,19278
2019-2020,PUBLIC,ABIDJAN ,ABIDJAN 4,FEMININ,15755
2019-2020,PUBLIC,ABOISSO,ABOISSO,FEMININ,22579
2019-2020,PUBLIC,ADZOPE,ADZOPE,FEMININ,16744
2019-2020,PUBLIC,AGBOVILLE,AGBOVILLE,FEMININ,16982
2019-2020,PUBLIC,BONDOUKOU,BONDOUKOU,FEMININ,15916
2019-2020,PUBLIC,BONGOUANOU,BONGOUANOU,FEMININ,9168
2019-2020,PUBLIC,BOUAFLE,BOUAFLE,FEMININ,15405
2019-2020,PUBLIC,BOUAKE ,BOUAKE 1,FEMININ,10630
2019-2020,PUBLIC,BOUAKE ,BOUAKE 2,FEMININ,19010
2019-2020,PUBLIC,BOUNA,BOUNA,FEMININ,4277
2019-2020,PUBLIC,BOUNDIALI,BOUNDIALI,FEMININ,9376
2019-2020,PUBLIC,DABOU,DABOU,FEMININ,12760
2019-2020,PUBLIC,DALOA,DALOA,FEMININ,26720
2019-2020,PUBLIC,DAOUKRO,DAOUKRO,FEMININ,8796
2019-2020,PUBLIC,DIMBOKRO,DIMBOKRO,FEMININ,7527
2019-2020,PUBLIC,DIVO,DIVO,FEMININ,18029
2019-2020,PUBLIC,DUEKOUE,DUEKOUE,FEMININ,7070
2019-2020,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,9715
2019-2020,PUBLIC,GAGNOA,GAGNOA,FEMININ,18943
2019-2020,PUBLIC,GUIGLO,GUIGLO,FEMININ,8392
2019-2020,PUBLIC,KATIOLA,KATIOLA,FEMININ,10059
2019-2020,PUBLIC,KORHOGO,KORHOGO,FEMININ,22500
2019-2020,PUBLIC,MAN,MAN,FEMININ,21912
2019-2020,PUBLIC,MANKONO,MANKONO,FEMININ,6035
2019-2020,PUBLIC,MINIGNAN,MINIGNAN,FEMININ,1098
2019-2020,PUBLIC,ODIENNE,ODIENNE,FEMININ,5170
2019-2020,PUBLIC,SAN-PEDRO,SAN-PEDRO,FEMININ,13423
2019-2020,PUBLIC,SASSANDRA,SASSANDRA,FEMININ,4094
2019-2020,PUBLIC,SEGUELA,SEGUELA,FEMININ,5674
2019-2020,PUBLIC,SOUBRE,SOUBRE,FEMININ,11640
2019-2020,PUBLIC,TOUBA,TOUBA,FEMININ,2792
2019-2020,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,19508
2020-2021,PUBLIC,ABENGOUROU,ABENGOUROU,FEMININ,17278
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 1,FEMININ,25820
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 2,FEMININ,24321
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 3,FEMININ,19369
2020-2021,PUBLIC,ABIDJAN ,ABIDJAN 4,FEMININ,16179
2020-2021,PUBLIC,ABOISSO,ABOISSO,FEMININ,24164
2020-2021,PUBLIC,ADZOPE,ADZOPE,FEMININ,17906
2020-2021,PUBLIC,AGBOVILLE,AGBOVILLE,FEMININ,17239
2020-2021,PUBLIC,BONDOUKOU,BONDOUKOU,FEMININ,17340
2020-2021,PUBLIC,BONGOUANOU,BONGOUANOU,FEMININ,9823
2020-2021,PUBLIC,BOUAFLE,BOUAFLE,FEMININ,16264
2020-2021,PUBLIC,BOUAKE ,BOUAKE 1,FEMININ,11685
2020-2021,PUBLIC,BOUAKE ,BOUAKE 2,FEMININ,19603
2020-2021,PUBLIC,BOUNA,BOUNA,FEMININ,4707
2020-2021,PUBLIC,BOUNDIALI,BOUNDIALI,FEMININ,10212
2020-2021,PUBLIC,DABOU,DABOU,FEMININ,13458
2020-2021,PUBLIC,DALOA,DALOA,FEMININ,26729
2020-2021,PUBLIC,DAOUKRO,DAOUKRO,FEMININ,9032
2020-2021,PUBLIC,DIMBOKRO,DIMBOKRO,FEMININ,7944
2020-2021,PUBLIC,DIVO,DIVO,FEMININ,18004
2020-2021,PUBLIC,DUEKOUE,DUEKOUE,FEMININ,7632
2020-2021,PUBLIC,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,10786
2020-2021,PUBLIC,GAGNOA,GAGNOA,FEMININ,18221
2020-2021,PUBLIC,GUIGLO,GUIGLO,FEMININ,8842
2020-2021,PUBLIC,KATIOLA,KATIOLA,FEMININ,11748
2020-2021,PUBLIC,KORHOGO,KORHOGO,FEMININ,25706
2020-2021,PUBLIC,MAN,MAN,FEMININ,23985
2020-2021,PUBLIC,MANKONO,MANKONO,FEMININ,6474
2020-2021,PUBLIC,MINIGNAN,MINIGNAN,FEMININ,1379
2020-2021,PUBLIC,ODIENNE,ODIENNE,FEMININ,5662
2020-2021,PUBLIC,SAN-PEDRO,SAN-PEDRO,FEMININ,14331
2020-2021,PUBLIC,SASSANDRA,SASSANDRA,FEMININ,3974
2020-2021,PUBLIC,SEGUELA,SEGUELA,FEMININ,6461
2020-2021,PUBLIC,SOUBRE,SOUBRE,FEMININ,11963
2020-2021,PUBLIC,TOUBA,TOUBA,FEMININ,3539
2020-2021,PUBLIC,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,20819
2018-2019,PRIVE,ABENGOUROU,ABENGOUROU,FEMININ,6314
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 1,FEMININ,24881
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 2,FEMININ,36509
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 3,FEMININ,68388
2018-2019,PRIVE,ABIDJAN ,ABIDJAN 4,FEMININ,64245
2018-2019,PRIVE,ABOISSO,ABOISSO,FEMININ,9713
2018-2019,PRIVE,ADZOPE,ADZOPE,FEMININ,7731
2018-2019,PRIVE,AGBOVILLE,AGBOVILLE,FEMININ,14819
2018-2019,PRIVE,BONDOUKOU,BONDOUKOU,FEMININ,7523
2018-2019,PRIVE,BONGOUANOU,BONGOUANOU,FEMININ,6519
2018-2019,PRIVE,BOUAFLE,BOUAFLE,FEMININ,16100
2018-2019,PRIVE,BOUAKE ,BOUAKE 1,FEMININ,6727
2018-2019,PRIVE,BOUAKE ,BOUAKE 2,FEMININ,11696
2018-2019,PRIVE,BOUNA,BOUNA,FEMININ,615
2018-2019,PRIVE,BOUNDIALI,BOUNDIALI,FEMININ,2690
2018-2019,PRIVE,DABOU,DABOU,FEMININ,7293
2018-2019,PRIVE,DALOA,DALOA,FEMININ,37044
2018-2019,PRIVE,DAOUKRO,DAOUKRO,FEMININ,5633
2018-2019,PRIVE,DIMBOKRO,DIMBOKRO,FEMININ,3441
2018-2019,PRIVE,DIVO,DIVO,FEMININ,19406
2018-2019,PRIVE,DUEKOUE,DUEKOUE,FEMININ,13857
2018-2019,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,2880
2018-2019,PRIVE,GAGNOA,GAGNOA,FEMININ,16773
2018-2019,PRIVE,GUIGLO,GUIGLO,FEMININ,4663
2018-2019,PRIVE,KATIOLA,KATIOLA,FEMININ,3098
2018-2019,PRIVE,KORHOGO,KORHOGO,FEMININ,10869
2018-2019,PRIVE,MAN,MAN,FEMININ,9998
2018-2019,PRIVE,MANKONO,MANKONO,FEMININ,1680
2018-2019,PRIVE,MINIGNAN,MINIGNAN,FEMININ,120
2018-2019,PRIVE,ODIENNE,ODIENNE,FEMININ,1011
2018-2019,PRIVE,SAN-PEDRO,SAN-PEDRO,FEMININ,15168
2018-2019,PRIVE,SASSANDRA,SASSANDRA,FEMININ,4640
2018-2019,PRIVE,SEGUELA,SEGUELA,FEMININ,1630
2018-2019,PRIVE,SOUBRE,SOUBRE,FEMININ,20927
2018-2019,PRIVE,TOUBA,TOUBA,FEMININ,538
2018-2019,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,15056
2019-2020,PRIVE,ABENGOUROU,ABENGOUROU,FEMININ,7360
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 1,FEMININ,30821
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 2,FEMININ,38446
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 3,FEMININ,74097
2019-2020,PRIVE,ABIDJAN ,ABIDJAN 4,FEMININ,72433
2019-2020,PRIVE,ABOISSO,ABOISSO,FEMININ,10873
2019-2020,PRIVE,ADZOPE,ADZOPE,FEMININ,7878
2019-2020,PRIVE,AGBOVILLE,AGBOVILLE,FEMININ,15767
2019-2020,PRIVE,BONDOUKOU,BONDOUKOU,FEMININ,7242
2019-2020,PRIVE,BONGOUANOU,BONGOUANOU,FEMININ,7417
2019-2020,PRIVE,BOUAFLE,BOUAFLE,FEMININ,17417
2019-2020,PRIVE,BOUAKE ,BOUAKE 1,FEMININ,7859
2019-2020,PRIVE,BOUAKE ,BOUAKE 2,FEMININ,13550
2019-2020,PRIVE,BOUNA,BOUNA,FEMININ,941
2019-2020,PRIVE,BOUNDIALI,BOUNDIALI,FEMININ,3695
2019-2020,PRIVE,DABOU,DABOU,FEMININ,7966
2019-2020,PRIVE,DALOA,DALOA,FEMININ,41460
2019-2020,PRIVE,DAOUKRO,DAOUKRO,FEMININ,6014
2019-2020,PRIVE,DIMBOKRO,DIMBOKRO,FEMININ,3397
2019-2020,PRIVE,DIVO,DIVO,FEMININ,20962
2019-2020,PRIVE,DUEKOUE,DUEKOUE,FEMININ,16208
2019-2020,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,3224
2019-2020,PRIVE,GAGNOA,GAGNOA,FEMININ,19467
2019-2020,PRIVE,GUIGLO,GUIGLO,FEMININ,5557
2019-2020,PRIVE,KATIOLA,KATIOLA,FEMININ,3665
2019-2020,PRIVE,KORHOGO,KORHOGO,FEMININ,12978
2019-2020,PRIVE,MAN,MAN,FEMININ,12653
2019-2020,PRIVE,MANKONO,MANKONO,FEMININ,2432
2019-2020,PRIVE,MINIGNAN,MINIGNAN,FEMININ,179
2019-2020,PRIVE,ODIENNE,ODIENNE,FEMININ,1088
2019-2020,PRIVE,SAN-PEDRO,SAN-PEDRO,FEMININ,17517
2019-2020,PRIVE,SASSANDRA,SASSANDRA,FEMININ,5784
2019-2020,PRIVE,SEGUELA,SEGUELA,FEMININ,1751
2019-2020,PRIVE,SOUBRE,SOUBRE,FEMININ,23133
2019-2020,PRIVE,TOUBA,TOUBA,FEMININ,604
2019-2020,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,15793
2020-2021,PRIVE,ABENGOUROU,ABENGOUROU,FEMININ,8603
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 1,FEMININ,32350
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 2,FEMININ,40917
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 3,FEMININ,78235
2020-2021,PRIVE,ABIDJAN ,ABIDJAN 4,FEMININ,78154
2020-2021,PRIVE,ABOISSO,ABOISSO,FEMININ,12755
2020-2021,PRIVE,ADZOPE,ADZOPE,FEMININ,8913
2020-2021,PRIVE,AGBOVILLE,AGBOVILLE,FEMININ,18599
2020-2021,PRIVE,BONDOUKOU,BONDOUKOU,FEMININ,8629
2020-2021,PRIVE,BONGOUANOU,BONGOUANOU,FEMININ,8330
2020-2021,PRIVE,BOUAFLE,BOUAFLE,FEMININ,20588
2020-2021,PRIVE,BOUAKE ,BOUAKE 1,FEMININ,8910
2020-2021,PRIVE,BOUAKE ,BOUAKE 2,FEMININ,16723
2020-2021,PRIVE,BOUNA,BOUNA,FEMININ,1329
2020-2021,PRIVE,BOUNDIALI,BOUNDIALI,FEMININ,4874
2020-2021,PRIVE,DABOU,DABOU,FEMININ,8794
2020-2021,PRIVE,DALOA,DALOA,FEMININ,49881
2020-2021,PRIVE,DAOUKRO,DAOUKRO,FEMININ,6201
2020-2021,PRIVE,DIMBOKRO,DIMBOKRO,FEMININ,3893
2020-2021,PRIVE,DIVO,DIVO,FEMININ,24436
2020-2021,PRIVE,DUEKOUE,DUEKOUE,FEMININ,19250
2020-2021,PRIVE,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMININ,4306
2020-2021,PRIVE,GAGNOA,GAGNOA,FEMININ,22897
2020-2021,PRIVE,GUIGLO,GUIGLO,FEMININ,6606
2020-2021,PRIVE,KATIOLA,KATIOLA,FEMININ,5084
2020-2021,PRIVE,KORHOGO,KORHOGO,FEMININ,15733
2020-2021,PRIVE,MAN,MAN,FEMININ,14956
2020-2021,PRIVE,MANKONO,MANKONO,FEMININ,4073
2020-2021,PRIVE,MINIGNAN,MINIGNAN,FEMININ,224
2020-2021,PRIVE,ODIENNE,ODIENNE,FEMININ,1328
2020-2021,PRIVE,SAN-PEDRO,SAN-PEDRO,FEMININ,21290
2020-2021,PRIVE,SASSANDRA,SASSANDRA,FEMININ,7065
2020-2021,PRIVE,SEGUELA,SEGUELA,FEMININ,2090
2020-2021,PRIVE,SOUBRE,SOUBRE,FEMININ,29123
2020-2021,PRIVE,TOUBA,TOUBA,FEMININ,737
2020-2021,PRIVE,YAMOUSSOUKRO,YAMOUSSOUKRO,FEMININ,17643
